rank,name,state,revenue,growth,industry,workers,founded,yrs_on_list,previous_workers,metro,city
2822,Above All Transportation/ Boston Car Service,MA,12 Million,133.2683,Logistics & Transportation,92,1988,1,48,Boston,Canton
2823,Durante Rentals,NY,37.1 Million,133.1627,Construction,107,2009,7,61,New York City,Mt. Vernon
2824,Morgan Li,IL,47.6 Million,133.0078,Manufacturing,200,2009,1,70,Chicago,Chicago Heights
2825,The Junkluggers,CT,13 Million,132.9935,Environmental Services,62,2016,6,55,"Bridgeport-Stamford-Norwalk, CT",Stamford
2826,Framework Solutions,CT,4.1 Million,132.9298,Business Products & Services,39,2000,3,16,,Danbury
2827,Chief Outsiders,TX,12.8 Million,132.8846,Advertising & Marketing,68,2009,6,43,Houston,Cypress
2828,Arcadia.io,MA,35.4 Million,132.8112,Health,200,2002,1,181,Boston,Burlington
2829,Rockwell Partners,IL,30.5 Million,132.6547,Real Estate,50,2009,2,25,Chicago,Chicago
2830,Cleanlife LED,OH,6.6 Million,132.5878,Manufacturing,15,2011,3,5,Cleveland,Cleveland
2831,Gorgo Group,NJ,23.7 Million,132.5384,Business Products & Services,200,1979,1,80,,Vineland
2832,Vigilant Global Trade Services,OH,6 Million,132.4981,Business Products & Services,65,2007,3,34,Cleveland,Shaker Heights
2833,Xtelligent Healthcare Media,MA,4.1 Million,132.4757,Advertising & Marketing,25,2012,1,15,Boston,DANVERS
2834,acquisitionsandrenewals.com,CA,13.7 Million,132.4372,Telecommunications,2,2007,5,2,"Las Vegas, NV",Henderson
2835,Visual Connections,MD,25.6 Million,132.4368,Government Services,75,2007,4,53,Baltimore,Windsor Mill
2836,WebIT Services,IL,2.5 Million,132.3564,IT Management,11,1996,1,7,Chicago,Naperville
2837,CaliChi Design Group,CA,2 Million,132.3432,Engineering,12,2009,1,6,San Francisco,Oakland
2838,Rescue | The Behavior Change Agency,CA,67.8 Million,132.3093,Advertising & Marketing,197,2005,11,115,San Diego,San Diego
2839,Budget Dumpster,OH,68.3 Million,132.0768,Environmental Services,160,2009,5,58,Cleveland,Westlake
2840,Riverside Payments,WA,9.6 Million,132.0349,Business Products & Services,91,2014,2,51,,VANCOUVER
2841,Bellwether Asset Management,CA,10.7 Million,131.8276,Real Estate,37,2013,1,19,Los Angeles,El Segundo
2842,Mobilewalla,GA,8.8 Million,131.8162,Software,81,2013,1,26,Atlanta,Atlanta
2843,Cantey Technology,SC,7.9 Million,131.8037,IT Management,55,2007,7,25,"Charleston, SC",North Charleston
2844,HHAeXchange,NY,25 Million,131.7778,Health,289,2008,5,150,New York City,Long Island City
2845,The Saywitz Company,CA,14.5 Million,131.7169,Real Estate,48,1994,5,28,Los Angeles,Newport Beach
2846,Bayone Solutions,CA,39.6 Million,131.6649,IT Management,225,2012,3,62,San Francisco,Pleasanton
2847,SmarterHQ,IN,8.9 Million,131.6089,Software,73,2010,4,73,"Indianapolis, IN",Indianapolis
2848,OpenWater Software,VA,4 Million,131.6037,Software,26,2007,3,12,"Washington, DC",Arlington
2849,G Adventures,MA,92.8 Million,131.6015,Travel & Hospitality,650,1990,2,491,Boston,Boston
2850,Plenus Group,MA,28.4 Million,131.5978,Manufacturing,87,2002,7,45,Boston,Lowell
2851,Medical Weight Loss by Healthogenics,GA,3.1 Million,131.5934,Health,18,2007,2,10,,Atlanta
2852,InsureYourCompany.com,NJ,4.9 Million,131.5158,Insurance,24,2001,1,17,New York City,Manalapan
2853,Simon Transport,UT,8.3 Million,131.4573,Logistics & Transportation,39,2004,2,15,Salt Lake City,Salt Lake City
2854,Beverly Hills Rejuvenation Center,CA,15.9 Million,131.3634,Health,78,2005,1,35,Los Angeles,Los Angeles
2855,SmartSites,NJ,4.9 Million,131.3126,Advertising & Marketing,81,2011,3,48,New York City,Paramus
2856,Transportation and Logistical Services,AL,12.8 Million,131.2451,Logistics & Transportation,14,2003,1,6,"Birmingham, AL",Birmingham
2857,Logistics Plus,PA,195.7 Million,131.1686,Logistics & Transportation,255,1996,5,160,,Erie
2858,Search Solution Group,NC,8.8 Million,131.0151,Human Resources,69,2002,5,25,Charlotte,Charlotte
2859,Meriwether & Tharp,GA,9.7 Million,130.9662,Consumer Products & Services,91,1998,3,43,Atlanta,Johns Creek
2860,CI&T,NY,60.5 Million,130.875,Business Products & Services,1125,1995,3,768,New York City,New York
2861,Elements Massage,CO,21.8 Million,130.8439,Health,69,2006,2,33,Denver,Englewood
2862,Renatus,UT,26.5 Million,130.827,Education,17,2011,3,6,"Ogden-Clearfield, UT",Centerville
2863,Parkmobile,GA,26.7 Million,130.7508,Software,126,2008,2,57,Atlanta,Atlanta
2864,iKeyless,KY,66.8 Million,130.732,Manufacturing,425,2002,4,203,"Louisville/Jefferson County, KY-IN",Louisville
2865,VLK Architects,TX,46.2 Million,130.7248,Construction,154,1984,2,79,Dallas,Ft Worth
2866,Katom Restaurant Supply,TN,152.3 Million,130.6586,Business Products & Services,160,1982,11,90,,Kodak
2867,Royal Vending,OR,3.3 Million,130.6138,Food & Beverage,17,2006,2,9,,Tigard
2868,WLE,TX,20.3 Million,130.5943,Construction,240,2003,1,54,Austin,Austin
2869,Quality Engineering & Surveying,LA,5.7 Million,130.5114,Engineering,51,2009,4,28,"Baton Rouge, LA",Port Vincent
2870,Keeping Current Matters,VA,4.4 Million,130.428,Business Products & Services,19,2007,2,12,New York City,Richmond
2871,HomeCare Connect,FL,33.1 Million,130.4018,Insurance,58,2011,2,25,"Orlando, FL",Winter Park
2872,Mission Driven Research,AL,3.4 Million,130.3422,Government Services,23,2012,3,16,"Huntsville, AL",Huntsville
2873,Brown Parker & DeMarinis Advertising,FL,35 Million,130.2725,Advertising & Marketing,46,2002,1,25,Miami,Boca Raton
2874,Lendr,IL,16.5 Million,130.2523,Financial Services,38,2011,2,17,Chicago,Chicago
2875,"Flow Right Plumbing, Heating & Cooling",CO,8.1 Million,130.2177,Construction,62,2008,2,44,,Pueblo
2876,Erben Associates,TX,3.6 Million,130.1741,Financial Services,8,1992,2,5,Austin,Austin
2877,AmeriPharma,CA,31.7 Million,130.1545,Health,66,2006,1,21,Los Angeles,Orange
2878,First National Title Insurance Company,TX,115 Million,130.1104,Insurance,28,2012,3,12,Dallas,Plano
2879,Ripple,GA,4.3 Million,130.031,IT Management,25,1997,1,15,Atlanta,Atlanta
2880,TWG Security,PA,4 Million,130.0146,Security,19,2007,3,8,"Allentown-Bethlehem-Easton, PA-NJ",EMMAUS
2881,D&B Precision Cutting and Manufacturing,TX,3.7 Million,129.9984,Manufacturing,24,2014,2,15,"San Antonio, TX",San Antonio
2882,Triumph Services,VA,3.2 Million,129.9784,Human Resources,35,2008,2,12,"Richmond, VA",Henrico
2883,Gant Systems,TN,2.9 Million,129.9454,IT Management,20,2007,2,18,,Bartlett
2884,Studio98,FL,3.4 Million,129.9407,Advertising & Marketing,24,2007,1,15,Tampa,Clearwater
2885,Boomsourcing,UT,12 Million,129.9365,Business Products & Services,645,2007,4,108,"Provo-Orem, UT",Lehi
2886,BirdDogHR,IA,9.7 Million,129.9163,Software,70,1997,5,52,"Des Moines, IA",Des Moines
2887,Texadia Systems,TX,10.2 Million,129.8098,Engineering,39,2013,1,23,Dallas,Dallas
2888,thomastech,OH,7.2 Million,129.7659,Computer Hardware,21,2007,2,9,Cleveland,Medina
2889,ROI Healthcare Solutions,GA,53 Million,129.6424,Health,75,1999,3,39,Atlanta,Atlanta
2890,Output,CA,7.8 Million,129.6061,Software,30,2013,2,9,Los Angeles,Los Angeles
2891,CTE Logistics,WA,12.6 Million,129.534,Logistics & Transportation,30,2009,7,14,Seattle,Sumner
2892,Level Access,VA,24.1 Million,129.4263,Software,166,1997,2,88,"Washington, DC",Vienna
2893,California CareGivers Home Healthcare,CA,7 Million,129.3954,Health,190,2012,2,100,"Sacramento, CA",Sacramento
2894,Excella Consulting,VA,71.3 Million,129.3785,IT System Development,300,2002,6,150,"Washington, DC",Arlington
2895,How to Manage a Small Law Firm,FL,11 Million,129.3639,Business Products & Services,32,2009,5,18,Miami,Miami
2896,The Auxiliary Group,FL,18.1 Million,129.3542,Logistics & Transportation,18,2009,5,6,"Orlando, FL",WINTER GARDEN
2897,Weisser Distributing,SD,65.1 Million,129.3426,Consumer Products & Services,145,1978,5,65,,Tea
2898,Snap Agency,MN,2.4 Million,129.3006,Advertising & Marketing,22,2010,2,9,Minneapolis,Minneapolis
2899,American Insurance Organization,PA,29.5 Million,129.2435,Insurance,60,2005,4,23,"Allentown-Bethlehem-Easton, PA-NJ",Nazareth
2900,Mayvin,VA,26.3 Million,129.2368,Government Services,145,2008,6,67,"Washington, DC",Annandale
2901,Sustainable Restaurant Group,OR,15.3 Million,129.2288,Food & Beverage,305,2008,1,90,,Portland
2902,The Sheppard,CA,8 Million,129.228,Advertising & Marketing,18,2007,1,6,Los Angeles,Glendale
2903,Wheelhouse DMG,WA,6.3 Million,129.2089,Advertising & Marketing,44,2010,4,15,Seattle,Seattle
2904,Alpha Paving Industries,TX,29.9 Million,128.9841,Construction,90,2012,4,42,Austin,Round Rock
2905,GreenBanana SEO,MA,6.3 Million,128.8895,Advertising & Marketing,18,2009,3,14,Boston,Beverly
2906,Singleton Enterprises,TX,3.5 Million,128.8606,Construction,17,1995,1,9,Dallas,Arlington
2907,Engage PEO,FL,32.7 Million,128.779,Human Resources,151,2011,4,72,Miami,Hollywood
2908,Delta Defense,WI,71.2 Million,128.7517,Media,260,2003,8,75,Milwaukee,West Bend
2909,Developintelligence,CO,8.1 Million,128.7513,Education,20,2003,6,7,"Boulder, CO",lafayette
2910,Roofcare,NM,8.7 Million,128.7159,Construction,82,2008,2,40,,Albuquerque
2911,Select Security,PA,43.8 Million,128.7126,Security,350,2003,5,120,"Lancaster, PA",Lancaster
2912,Real People Realty,IL,9.9 Million,128.6827,Real Estate,547,2001,1,323,Chicago,Mokena
2913,TruePoint Communications,TX,2.6 Million,128.6406,Advertising & Marketing,13,2006,2,12,Dallas,Dallas
2914,SketchDeck,CA,3.6 Million,128.6007,Software,18,2014,1,8,San Jose,San Jose
2915,Tiempo Development,AZ,20.9 Million,128.5295,Software,386,2005,7,209,Phoenix,Tempe
2916,ConnectPay,MA,5.1 Million,128.371,Business Products & Services,57,2008,1,17,Boston,Foxborough
2917,Promoboxx,MA,7.4 Million,128.3322,Advertising & Marketing,65,2010,2,29,Boston,Boston
2918,Pondurance,IN,7.4 Million,128.2143,IT Management,54,2008,3,33,"Indianapolis, IN",Indianapolis
2919,Four Foods Group,UT,181.4 Million,128.1677,Food & Beverage,4500,2009,8,1000,"Provo-Orem, UT",Pleasant Grove
2920,Advanced Flooring,NY,20 Million,128.1067,Construction,18,2013,2,10,New York City,valley cottage
2921,Filterworks USA,FL,14.3 Million,128.0724,Business Products & Services,35,1988,3,25,Miami,Deerfield Beach
2922,Fonteva,VA,19.8 Million,128.0671,Software,150,2010,6,70,"Washington, DC",Arlington
2923,Fors Marsh Group,VA,47.9 Million,128.0605,Government Services,215,2002,7,85,"Washington, DC",Arlington
2924,The Nines,MN,2.7 Million,128.0459,Retail,17,2013,1,5,,DETROIT LAKES
2925,HMT Associates,OH,9.6 Million,127.9469,Advertising & Marketing,54,2002,2,32,Cleveland,Cleveland
2926,US Patriot,SC,68.6 Million,127.9204,Retail,295,2000,4,51,"Columbia, SC",Columbia
2927,nLogic,AL,48.5 Million,127.8145,Government Services,285,2005,10,124,"Huntsville, AL",Huntsville
2928,Docmation,GA,9.7 Million,127.8056,IT System Development,79,2011,2,34,Atlanta,Atlanta
2929,Patriot Pool and Spa,TX,2.9 Million,127.6684,Consumer Products & Services,34,2006,2,12,Austin,Austin
2930,Downtown Catering Company,SC,2.2 Million,127.6529,Food & Beverage,90,2003,1,60,,Bluffton
2931,PowerReviews,IL,25.4 Million,127.6157,Software,161,2006,2,116,Chicago,Chicago
2932,Local Marketing Solutions Group,IL,5.6 Million,127.5891,Advertising & Marketing,47,2012,2,10,Chicago,Rolling Meadows
2933,Evans Incorporated,VA,16.1 Million,127.5231,Government Services,60,1994,6,49,"Washington, DC",Falls Church
2934,Design Extensions,FL,2 Million,127.4988,Advertising & Marketing,14,1999,1,6,"Jacksonville, FL",Saint Augustine
2935,Bold Construction,NC,8.7 Million,127.4987,Construction,17,1997,3,10,"Durham, NC",Chapel Hill
2936,ReedTMS Logistics,FL,205.3 Million,127.4854,Logistics & Transportation,300,1996,1,85,Tampa,Tampa
2937,Sales Empowerment Group,IL,5.8 Million,127.4793,Business Products & Services,65,2009,5,30,Chicago,Chicago
2938,MarkSYS,CA,31.2 Million,127.2955,Advertising & Marketing,64,2011,4,45,"Sacramento, CA",Rocklin
2939,IT Support RI,RI,2.3 Million,127.2938,IT Management,16,2002,1,13,,North Smithfield
2940,Excel Services,KY,28.3 Million,127.1894,Construction,122,2006,4,71,"Louisville/Jefferson County, KY-IN",Louisville
2941,Keyser,AZ,10.6 Million,127.1078,Real Estate,50,2013,1,25,Phoenix,Scottsdale
2942,Cutting Edge Countertops,OH,23.4 Million,127.0505,Construction,191,2006,1,77,,Perrysburg
2943,Aventri,CT,29.6 Million,127.0468,Software,380,2008,1,100,"Bridgeport-Stamford-Norwalk, CT",norwalk
2944,Erus Energy,AZ,54.8 Million,127.0407,Energy,240,2004,2,60,Phoenix,Phoenix
2945,Accucomp Appraisal Services,IN,5.8 Million,127.0388,Real Estate,6,2011,1,3,,Fort Wayne
2946,Envisage,MA,6.2 Million,126.9536,IT Management,45,2010,1,15,Boston,Marlborough
2947,Buzz Franchise Brands,VA,18.7 Million,126.9201,Consumer Products & Services,26,2012,3,54,Virginia Beach,Virginia Beach
2948,Kyriba,CA,113.4 Million,126.8046,Software,627,2000,7,365,New York City,San Diego
2949,"Schaal Plumbing, Heating & Cooling",IA,10.6 Million,126.7789,Construction,47,1956,3,32,"Des Moines, IA",Des Moines
2950,Southeast Veterinary Neurology,FL,7.4 Million,126.7753,Consumer Products & Services,55,2010,1,25,Miami,Miami
2951,Upper Edge Technologies,AR,3.7 Million,126.6447,Consumer Products & Services,44,2011,1,16,,West Memphis
2952,Spire Digital,CO,12.4 Million,126.6047,Software,77,1998,3,36,Denver,Denver
2953,EPIC Insurance Brokers & Consultants,CA,393.3 Million,126.5667,Insurance,1330,2007,6,1124,San Francisco,San Francisco
2954,Axiom Eco Pest Control,OR,5.4 Million,126.5569,Consumer Products & Services,46,2008,2,16,,Milwaukie
2955,FedBiz IT Solutions,VA,58.6 Million,126.5148,Government Services,11,2011,4,9,"Washington, DC",Leesburg
2956,Local Loyalty Marketing Solutions NC,NC,2.1 Million,126.3973,Advertising & Marketing,23,2010,1,10,"Raleigh, NC",Cary
2957,Edge,UT,35.6 Million,126.3777,Consumer Products & Services,326,2008,5,142,"Provo-Orem, UT",Orem
2958,Alpha Premier,TX,2.6 Million,126.375,Construction,4,2014,1,5,Austin,Round Rock
2959,Jack Browns Joint,AL,16.1 Million,126.3166,Food & Beverage,325,2009,1,100,"Birmingham, AL",Birmingham
2960,Sandler Partners,CA,90.7 Million,126.3106,Telecommunications,66,2003,10,52,Los Angeles,California
2961,EngeniusMicro,AL,2.9 Million,126.2778,Government Services,18,2007,1,4,"Huntsville, AL",Huntsville
2962,Enscicon,CO,13.8 Million,126.2339,Engineering,145,1994,3,107,,Denver
2963,Janus International Group,GA,484 Million,126.1486,Manufacturing,1098,2002,6,597,Atlanta,Temple
2964,Kumparison,CO,3.4 Million,126.1456,Advertising & Marketing,20,2011,2,11,Denver,Evergreen
2965,RxNT,MD,15.5 Million,126.1052,Software,50,1999,1,25,Baltimore,Annapolis
2966,MileMark Media,FL,2.9 Million,125.9919,Advertising & Marketing,9,2014,2,4,Miami,Tampa
2967,SleepQuest,CA,12.6 Million,125.9329,Health,75,1993,2,35,San Francisco,San Carlos
2968,CardioSolution,OH,21.9 Million,125.9291,Health,124,2011,3,32,Cincinnati,Cincinnati
2969,Abenity,TN,7.1 Million,125.9079,Business Products & Services,25,2007,5,10,Nashville,Franklin
2970,Echo Health,OH,148.6 Million,125.9073,Health,92,1997,7,42,Cleveland,WESTLAKE
2971,Rank Crankers,MN,2.1 Million,125.8574,Advertising & Marketing,22,2009,1,7,Minneapolis,Minneapolis
2972,Mojo Media Labs,TX,2 Million,125.7973,Advertising & Marketing,21,2007,1,8,Dallas,Irving
2973,Engelke Construction Solutions,OH,45.8 Million,125.7898,Construction,59,2002,4,32,Cleveland,Brunswick
2974,Silverline,NY,50.5 Million,125.7549,IT System Development,299,2009,6,82,New York City,New York
2975,Heartsmart.com,CT,28.9 Million,125.6991,Health,16,2010,4,9,,New Milford
2976,Xyngular,UT,111.5 Million,125.6905,Consumer Products & Services,141,2009,4,87,"Provo-Orem, UT",Lehi
2977,CollabraLink Technologies,VA,45.3 Million,125.5623,Government Services,267,2009,8,124,"Washington, DC",McLean
2978,Score a Score,CA,4.2 Million,125.5287,Media,7,2010,4,3,Los Angeles,Los Angeles
2979,APIC Solutions,NM,16.5 Million,125.5128,Construction,132,2012,1,35,,Albuquerque
2980,Portable Oxygen Solutions,NC,2.6 Million,125.4637,Health,5,2013,2,2,Charlotte,Charlotte
2981,Agile Velocity,TX,6.6 Million,125.4379,Business Products & Services,15,2010,3,10,Austin,Austin
2982,Reflex Sales Group,CA,8.9 Million,125.349,Business Products & Services,4,2011,4,3,"Oxnard-Thousand Oaks-Ventura, CA",Thousand Oaks
2983,OAC Services,WA,30.6 Million,125.1564,Construction,145,1955,2,60,Seattle,Seattle
2984,Culinary Eye Catering and Events,CA,3.9 Million,125.1557,Food & Beverage,124,2010,2,45,San Francisco,San Francisco
2985,Payroll4Construction.com,OH,11 Million,125.1233,Financial Services,52,2006,3,32,Cleveland,Strongsville
2986,Great Hire,CA,14.2 Million,125.117,Human Resources,15,2012,1,3,"Inland Empire, CA",La Mirada
2987,Union Home Mortgage,OH,155.6 Million,125.0525,Financial Services,1173,1970,4,465,Cleveland,Strongsville
2988,TDK Technologies,MO,22.1 Million,125.0324,IT System Development,151,2001,3,75,"St. Louis, MO-IL",Chesterfield
2989,Prosper Consulting,OR,2.3 Million,124.9386,Education,60,2014,1,10,,Portland
2990,InfraWare,IN,12.2 Million,124.7431,Software,117,2003,3,73,,Terre Haute
2991,Owen Jones and Partners,OR,6.3 Million,124.6213,Advertising & Marketing,41,2002,1,15,,Portland
2992,Objectstream,OK,8.9 Million,124.5785,Government Services,103,2004,4,32,"Oklahoma City, OK",Oklahoma City
2993,Chemlock Nutrition,OH,10.6 Million,124.5211,Food & Beverage,7,2010,2,3,Cincinnati,Cincinnati
2994,Nomadic Real Estate,DC,5.3 Million,124.4776,Real Estate,32,2005,2,10,"Washington, DC",Washington
2995,Keller Williams Realty Capital District,NY,20.1 Million,124.3687,Real Estate,9,2007,2,5,"Albany-Schenectady-Troy, NY",Latham
2996,Sunrise Erectors,MA,92 Million,124.3434,Construction,312,1996,1,180,Boston,Canton
2997,Lindmark Outdoor Media,OK,8.7 Million,124.2823,Advertising & Marketing,13,1999,1,6,"Oklahoma City, OK",Norman
2998,Doberman Technologies,MI,2 Million,124.0925,IT Management,11,2005,1,8,,Mason
2999,LA Solar Group,CA,26.4 Million,124.0409,Energy,88,2012,4,37,Los Angeles,Van Nuys
3000,AR Solutions,DE,4.5 Million,123.9907,IT Management,30,2009,1,19,Philadelphia,Claymont
3001,Kopis,SC,6.3 Million,123.9493,Software,43,1999,1,23,,Greenville
3002,Yes&,VA,16 Million,123.9309,Advertising & Marketing,68,1985,2,24,"Washington, DC",Alexandria
3003,Aligne Wealth Preservation & Insurance Services,CA,2.1 Million,123.9244,Financial Services,7,2011,1,3,Los Angeles,Los Angeles
3004,365 Retail Markets,MI,52 Million,123.8557,Software,184,2009,4,104,Detroit,Troy
3005,Virtus Partners,TX,69.9 Million,123.8007,Financial Services,419,2005,1,235,Houston,Houston
3006,Snap Install,MN,7.8 Million,123.648,Consumer Products & Services,33,2011,1,10,Minneapolis,Maple Grove
3007,FirstClose,TX,12 Million,123.5815,Real Estate,36,2000,4,20,Austin,Austin
3008,Ecotone,MD,15 Million,123.4325,Environmental Services,75,1998,3,36,Baltimore,Forest Hill
3009,Shaw + Scott,WA,11.2 Million,123.3983,Advertising & Marketing,93,2009,5,48,Seattle,Seattle
3010,Busch Global,TX,8.9 Million,123.3419,Business Products & Services,250,2012,3,100,Austin,Lakeway
3011,Protocol Networks,RI,5 Million,123.3092,IT Management,28,2000,1,14,,Johnston
3012,R & Y A/C Compressors,FL,4.6 Million,123.3031,Manufacturing,26,1989,1,20,Miami,North Miami Beach
3013,The Cutting Board Company,GA,3 Million,123.2476,Manufacturing,18,2002,2,4,Atlanta,Norcross
3014,SiteLock,AZ,48.7 Million,123.238,Security,203,2008,3,115,Phoenix,Scottsdale
3015,The Indigo Road Hospitality Group,SC,48.4 Million,123.2333,Food & Beverage,960,2009,1,330,"Charleston, SC",Charleston
3016,Siteline Interior Carpentry,IL,47.3 Million,123.204,Construction,199,2003,1,91,Chicago,Chicago
3017,FCP Euro,CT,46.4 Million,123.1022,Consumer Products & Services,89,2001,6,41,,Milford
3018,Sophus IT Solutions,WA,7.1 Million,123.0894,IT Management,142,2010,3,49,Seattle,ISSAQUAH
3019,Crimcheck Holdings,OH,7.8 Million,122.9497,Business Products & Services,42,2014,3,21,Cleveland,Brunswick
3020,US,MD,4.7 Million,122.9266,Manufacturing,22,2008,1,5,"Washington, DC",Beltsville
3021,Miguel Lopez Jr.,FL,16.8 Million,122.9045,Construction,58,1989,2,42,Miami,Pembroke Pines
3022,Stream Logistics,AZ,31 Million,122.8928,Logistics & Transportation,46,2012,3,15,Phoenix,Scottsdale
3023,Allegheny Science & Technology,WV,44.7 Million,122.8902,Government Services,200,2009,6,175,,Bridgeport
3024,Romaric Automation Design,UT,2.7 Million,122.8345,Software,10,2001,1,5,Salt Lake City,Sandy
3025,Marathon TS,VA,22.9 Million,122.6014,Government Services,200,2010,6,92,"Washington, DC",Sterling
3026,Cummings Creative Group,AL,6.5 Million,122.5409,Advertising & Marketing,18,1991,1,14,"Birmingham, AL",Birmingham
3027,Claimify (formerly Lucens Group),MA,2.5 Million,122.4125,Insurance,10,2013,1,3,Boston,Wilmington
3028,Ruby Receptionists,OR,47.2 Million,122.4096,Telecommunications,583,2003,8,283,,Portland
3029,Bay State Search,MA,14.5 Million,122.373,Human Resources,16,2013,3,10,Boston,BOSTON
3030,TechLink Services,OR,12.2 Million,122.3384,Business Products & Services,61,2008,5,26,,Bend
3031,Decisiv,VA,19 Million,122.3356,Software,102,2001,3,51,"Richmond, VA",Glen Allen
3032,Bay to Bay Properties,FL,75.1 Million,122.2889,Construction,62,2003,1,30,Tampa,Safety Harbor
3033,MYCA Material Handling Solutions,NC,49.4 Million,122.2684,Business Products & Services,30,2004,2,20,,Cary
3034,Pillar Properties,WA,68.7 Million,122.228,Real Estate,68,2012,5,40,Seattle,Seattle
3035,Swift Straw II,GA,36.3 Million,122.0973,Consumer Products & Services,67,2011,5,33,Atlanta,Atlanta
3036,Mid America Pet Food,TX,85.1 Million,122.0934,Manufacturing,115,2007,2,55,,Mt Pleasant
3037,Maantic,CA,17.8 Million,122.0294,IT System Development,90,2009,3,45,San Jose,Sunnyvale
3038,Paragon Healthcare,TX,325.9 Million,121.8995,Health,644,2002,4,416,Dallas,Dallas
3039,ten24,MA,3.6 Million,121.8047,Software,28,2008,2,13,,Worcester
3040,Grassburger,CO,2.5 Million,121.743,Food & Beverage,50,2014,1,25,,Durango
3041,The Haro Group of Keller Williams Real Estate,SC,2.4 Million,121.7316,Real Estate,19,2010,2,18,"Greenville-Mauldin-Easley, SC",Greenville
3042,Media Bridge Advertising,MN,23.4 Million,121.7279,Advertising & Marketing,18,2010,4,6,Minneapolis,Minneapolis
3043,Golden Reserve,OH,3.5 Million,121.698,Financial Services,10,2011,2,3,"Columbus, OH",Dublin
3044,Distrivalto USA / Holstein Housewares,FL,19.8 Million,121.6626,Consumer Products & Services,14,1998,1,9,Miami,Miami
3045,HispaniSpace,CA,3.3 Million,121.6191,Advertising & Marketing,15,2011,1,7,Los Angeles,Burbank
3046,PrinterLogic,UT,21.4 Million,121.6174,Software,184,2001,3,73,,St. George
3047,Rockway Exhibits + Events,FL,4.7 Million,121.6035,Advertising & Marketing,25,2011,1,10,"Orlando, FL",Orlando
3048,HigherGround Managed Services,IL,4.6 Million,121.5969,IT Management,30,2004,1,4,Chicago,Rolling Meadows
3049,Tidewater Fleet Supply,VA,60.7 Million,121.511,Logistics & Transportation,200,1953,7,100,Virginia Beach,Norfolk
3050,Medical Solutions,NE,480.6 Million,121.4829,Health,514,2001,12,254,"Omaha-Council Bluffs, NE-IA",Omaha
3051,Bean Group,NH,49.4 Million,121.4379,Real Estate,22,2003,8,16,Boston,PORTSMOUTH
3052,RevLocal,OH,35.7 Million,121.4042,Advertising & Marketing,376,1998,6,187,"Columbus, OH",Granville
3053,Brink,AZ,2.9 Million,121.3847,Advertising & Marketing,22,2001,2,12,,Tucson
3054,Allixo,WA,3.1 Million,121.3468,IT Management,21,2009,2,12,,Mount Vernon
3055,Rentec Direct,OR,4.1 Million,121.3146,Software,13,2009,3,6,,Grants Pass
3056,Professional Enrollment Concepts,TX,9.2 Million,121.2288,Human Resources,55,2012,3,20,Houston,Houston
3057,Qiigo,GA,8.1 Million,121.1805,Advertising & Marketing,61,2006,5,33,Atlanta,Roswell
3058,Chrome River,CA,48.3 Million,121.154,Software,474,2007,8,175,Los Angeles,Los Angeles
3059,Sender One Climbing,CA,6.5 Million,121.1392,Consumer Products & Services,150,2012,2,36,Los Angeles,Santa Ana
3060,Jane.com,UT,185.4 Million,121.0827,Consumer Products & Services,175,2011,5,60,"Provo-Orem, UT",Lehi
3061,Lumiere Children's Therapy,IL,2.9 Million,121.0526,Health,45,2009,1,20,Chicago,Chicago
3062,Affiliated Communications dba Alert Communications,CA,17 Million,120.9798,Business Products & Services,256,1965,3,135,"Oxnard-Thousand Oaks-Ventura, CA",Camarillo
3063,City Brew Tours,MA,2.5 Million,120.9645,Travel & Hospitality,42,2008,2,13,Boston,Watertown
3064,Mountain Showcase Group,NC,4.3 Million,120.944,Consumer Products & Services,37,1996,3,24,"Asheville, NC",Hendersonville
3065,Business IT Source,IL,128.9 Million,120.8093,Computer Hardware,50,2008,3,38,Chicago,Buffalo Grove
3066,Advanced Powder Products,PA,10.9 Million,120.7884,Manufacturing,76,2000,4,24,,Philipsburg
3067,Fab-Tec,NC,3.9 Million,120.7735,Construction,50,1997,2,22,Charlotte,Dallas
3068,Conti,TX,66.9 Million,120.767,Real Estate,175,2008,5,78,Dallas,Dallas
3069,Facility Systems,KS,4.5 Million,120.7535,Construction,10,1985,1,7,"Kansas City, MO-KS",OVERLAND PARK
3070,Halco Testing Services,CA,2.8 Million,120.6893,Business Products & Services,18,1976,2,9,Los Angeles,Los Angeles
3071,Search Discovery,GA,21 Million,120.6799,Advertising & Marketing,105,2004,3,44,Atlanta,Atlanta
3072,Competitive Health,CA,4.8 Million,120.6655,Health,5,1996,2,3,Los Angeles,Irvine
3073,Unlimited Landscaping & Turf Management,GA,20 Million,120.6528,Environmental Services,216,1998,4,86,Atlanta,Buford
3074,EvolveMKD,NY,6.5 Million,120.6522,Advertising & Marketing,20,2014,1,10,New York City,New York
3075,Premier Networx,GA,2.6 Million,120.4312,IT Management,14,2013,2,11,,Martinez
3076,AvAir,AZ,67.1 Million,120.3639,Logistics & Transportation,80,2000,2,57,Phoenix,Chandler
3077,Aqua-Yield Operations,UT,2.6 Million,120.332,Business Products & Services,27,2014,1,9,Salt Lake City,Draper
3078,Circle Computer Resources,IA,24.7 Million,120.322,IT Management,108,1986,10,73,,Cedar Rapids
3079,Vandelay Education,TX,9.5 Million,120.3008,Education,333,2010,1,182,Austin,Cedar Park
